"ticker";"idorden";"nada";"fondo";"accion";"porcentaje";"mes";"ano";"id";"ultimo";"previo";"repercusion";"diahora"
"ELV";31;"";"MEGATRENDS";"ELEVANCE HEALTH USD 10.659 2,34 10.587 2,48";2.21;"Diciembre";2023;198;541.24;544.15;-1.18186161903885;2024-09-11 12:54:50
"EMR.F";NA;"";"BOLSAUSA";"EMERSON ELECTRIC USD 220 0,18 -- --";0.18;"Diciembre";2023;199;90.05;89.69;0.0722488571747128;2024-09-11 12:54:50
"ENC.MC";6877;"2300";"BESTIDEAS";"ENCE Energía y Celulosa";1.230559482;"127.03618";2.99;200;2.9;2.902;-0.0848076831151025;2024-09-11 12:54:50
"ENEL.MI";31;"";"SECTORINMOBILIARIO";"ENEL SPA EUR 463 2,68 480 2,57";1.93;"Diciembre";2023;201;7.054;7.082;-0.763061282123683;2024-09-11 12:54:50
"ENEL.MI";14;"";"BOLSAEUROPA";"ENEL SPA EUR 1.775 1,92 -- --";1.35;"Diciembre";2023;201;7.054;7.082;-0.533747528946617;2024-09-11 12:54:50
"ENL.DE";NA;"";"DIVIDENDO";"ENEL SPA EUR 5.048 1,54 -- --";1.54;"Diciembre";2023;202;7.056;7.082;-0.565377012143458;2024-09-11 12:54:50
"ENO.MC";NA;"";"SMALLCAPS";"ELECNOR EUR 1.730 1,41 -- --";1.41;"Diciembre";2023;203;18;17.86;1.10526315789474;2024-09-11 12:54:50
"ENPH";NA;"";"NEWENERGY";"ENPHASE ENERGY INC USD 384 0,72 -- --";1.55;"Diciembre";2023;204;108.62;104.61;5.94159258197114;2024-09-11 12:54:50
"EOAN.DE";15;"Estimado";"DIVIDENDO";"EON SE EUR 2.977 1,86 2.719 1,60";2.35;"Julio";2024;205;13.435;13.47;-0.610616184112846;2024-09-11 12:54:50
"EON.BD";31;"";"BOLSAINTERNACIONAL";"EON SE EUR 1.737 0,84 641 0,65";0.61;"Diciembre";2023;206;5278;5278;0;2024-09-11 12:54:50
"EON.BD";31;"";"SECTORINMOBILIARIO";"EON SE EUR 406 2,36 18";2.17;"Diciembre";2023;206;5278;5278;0;2024-09-11 12:54:50
"EQIX";31;"Estimado";"SECTORINMOBILIARIO";"EQUINIX USD 122 1,12 -- --";2.21;"Julio";2024;207;860.995;864.78;-0.967280695668254;2024-09-11 12:54:50
"ESF.VI";15;"Estimado";"SMALLCAPS";"EUROFINS SCIENTIFIC EUR 2.330 1,90 2.297 1,85";1.79;"Marzo";2024;208;52.54;52.92;-1.28533635676494;2024-09-11 12:54:50
"EVD.SG";NA;"";"SMALLCAPS";"CTS EVENTIM AG EUR 1.753 1,43 -- --";1.43;"Diciembre";2023;209;87;87.45;-0.735849056603778;2024-09-11 12:54:50
"EW";31;"";"GLOBAL";"EW LIFESCIENCES USD 12.763 2,31 13.367 2,61";1.71;"Diciembre";2023;210;67.95;67.14;2.06300268096515;2024-09-11 12:54:50
"EW";31;"Estimado";"SANIDAD";"EW LIFESCIENCES USD 5.348 1,27 5.601 1,38";2.48;"Agosto";2024;210;67.95;67.14;2.99195710455765;2024-09-11 12:54:50
"EW";31;"";"MEGATRENDS";"Edwards Lifesciences USD";2.69;"Agosto";2024;210;67.95;67.14;3.24530831099197;2024-09-11 12:54:50
"EXC";31;"";"BOLSAUSA";"EXELON CORP USD 1.615 1,46 1.729 1,66";0.13;"Diciembre";2023;211;39.16;39.05;0.036619718309859;2024-09-11 12:54:50
"EXR";31;"Estimado";"SECTORINMOBILIARIO";"EXTRA SPACE STORAGE USD 142 1,31 -- --";2.21;"Julio";2023;212;175.885;177.45;-1.94908424908425;2024-09-11 12:54:50
"FER.MC";31;"Estimado";"SECTORINMOBILIARIO";"FERROVIAL EUR 525 2,49 329 2,37";2.21;"Julio";2024;213;37.42;37.8;-2.2216931216931;2024-09-11 12:54:50
"FER.MC";31;"";"BOLSAESPANA";"FERROVIAL EUR 1.400 2,94 1.424 2,98";4.74;"Agosto";2024;213;37.42;37.8;-4.76507936507931;2024-09-11 12:54:50
"FERG.L";31;"";"SECTORINMOBILIARIO";"FERGUSON PLC GBP 114 1,05 -- --";1.53;"Diciembre";2023;214;14350;14500;-1.58275862068966;2024-09-11 12:54:50
"FGR.PA";31;"Estimado";"SECTORINMOBILIARIO";"EIFFAGE EUR 145 1,34 830 1,85";2.21;"Julio";2024;215;95.52;95.58;-0.13873195229128;2024-09-11 12:54:50
"FLOW.AS";NA;"";"SMALLCAPS";"FLOW TRADERS EUR 1.932 1,56 2.717 3,07";1.4;"Diciembre";2023;216;17.84;17.96;-0.935412026726065;2024-09-11 12:54:50
"FORT.L";NA;"";"SMALLCAPS";"FORTERRA GBP 1.376 1,11 -- --";1.51;"Diciembre";2023;217;170.4;172.4;-1.75174013921114;2024-09-11 12:54:50
"FP.VI";31;"";"BOLSAEUROPA";"TOTAL ENERGIES EUR";2.29;"Agosto";2024;218;60.22;60.45;-0.871298593879254;2024-09-11 12:54:50
"FP.VI";31;"";"DIVIDENDO";"TOTAL EUR 7.006 3,84 6.031 3,32";2.59;"Agosto";2024;218;60.22;60.45;-0.985442514474789;2024-09-11 12:54:50
"FP.VI";31;"";"BOLSAINTERNACIONAL";"TOTAL EUR 503 0,75 446 0,73";1.12;"Diciembre";2023;218;60.22;60.45;-0.426137303556666;2024-09-11 12:54:50
"FRA.DE";31;"";"SECTORINMOBILIARIO";"FRAPORT EUR 109 1,01 642 1,43";1.03;"Diciembre";2023;219;47.2;47.26;-0.13076597545492;2024-09-11 12:54:50
"FSLR";31;"";"NEWENERGY";"FIRST SOLAR USD 1.488 2,73 1.215 3,05";4.42;"Agosto";2024;220;232.99;208.22;52.5806358659111;2024-09-11 12:54:50
"FSLR";NA;"";"MEGATRENDS";"FIRST SOLAR USD 9.364 2,11 -- --";2.43;"Junio";2024;220;232.99;208.22;28.9074536547882;2024-09-11 12:54:50
"FTK.DE";15;"Estimado";"SMALLCAPS";"FLATEXDEGIRO EUR 2.388 1,93 1.347 1,52";1.88;"Julio";2024;221;12.03;12.07;-0.62303231151617;2024-09-11 12:54:50
"G.MI";31;"";"FINANCIERO";"ASSICURAZIONI GENERA EUR 68 0,86 86 1,33";1.77;"Diciembre";2023;222;24.97;24.98;-0.0708566853482897;2024-09-11 12:54:50
"G.MI";31;"";"DIVIDENDO";"ASSICURAZIONI GENERA EUR 3.753 2,34 3.137 1,84";1.28;"Diciembre";2023;222;24.97;24.98;-0.0512409927942434;2024-09-11 12:54:50
"G14.MU";NA;"";"DIVIDENDO";"SIGNIFY NV EUR 8.368 2,55 7.085 2,06";2;"Diciembre";2023;223;20.34;20.34;0;2024-09-11 12:54:50
"GALP.LS";NA;"";"BOLSAEUROPA";"GALP ENERGIA EUR 1.267 1,59 1.554 1,49";1.59;"Diciembre";2023;224;17.04;16.935;0.985828166519047;2024-09-11 12:54:50
"GCO.MC";31;"";"BOLSAESPANA";"CATALANA OCCIDENTE S EUR 1.190 2,49 1.020 2,13";3.14;"Agosto";2023;225;38.55;39.1;-4.41687979539645;2024-09-11 12:54:50
"GCO.MC";15;"Estimado";"FINANCIERO";"CATALANA OCCIDENTE S EUR 234 2,96 201 3,12";2.85;"Abril";2024;225;38.55;39.1;-4.00895140664965;2024-09-11 12:54:50
"GCO.MC";31;"";"SMALLCAPS";"CATALANA OCCIDENTE S EUR 714 0,76 -- --";2.12;"Agosto";2024;225;38.55;39.1;-2.98209718670079;2024-09-11 12:54:50
"GE";NA;"";"BOLSAUSA";"GEN ELEC CO USD 405 0,33 352 0,30";0.33;"Diciembre";2023;226;165.95;166.98;-0.203557312252965;2024-09-11 12:54:50
"GE";NA;"";"BOLSAINTERNACIONAL";"GEN ELEC CO USD 1.387 0,51 -- --";0.51;"Diciembre";2023;226;165.95;166.98;-0.314588573481855;2024-09-11 12:54:50
"GEN";NA;"Estimado";"TECNOLOGICO";"GEN DIGITAL USD 11.733 2,34 13.813 3,51";2.4;"Febrero";2024;227;25.87;25.9;-0.277992277992256;2024-09-11 12:54:50
"GEN";NA;"";"MEGATRENDS";"GEN DIGITAL USD 11.138 2,19 13.112 2,75";2.43;"Junio";2023;227;25.87;25.9;-0.281467181467159;2024-09-11 12:54:50
