"ticker";"ultimo";"previo";"repercusion"
"MSFT";419.41;414.2;1.25784645098987
"MTS.MC";19.695;19.72;-0.126774847870175
"MU";88.84;86.85;2.29130685089235
"MUV2.HA";482.6;480.4;0.457951706910917
"NDA-DK.CO";77.08;77.84;-0.976361767728681
"NDA-SE.ST";118.2;119.2;-0.838926174496644
"NEE";83.16;82.3;1.044957472661
"NEF.DE";48.41;48.41;0
"NEL.OL";5.208;4.964;4.91539081385979
"NEOEN.PA";38.8;38.83;-0.0772598506309584
"NESN.SW";87.76;88.3;-0.611551528878813
"NESTE.HE";16.055;17.75;-9.54929577464789
"NFLX";675.912;673.62;0.340251180190616
"NG.L";1042;1043;-0.0958772770853308
"NJB.F";3.93;3.9;0.769230769230776
"NKE";77.89;78.09;-0.256114739403256
"NOEJ.DE";14.2;14.38;-1.25173852573019
"NOTA.F";103.5;103.5;0
"NOVN.SW";97.47;98.81;-1.35613804270823
"NOVO-B.CO";890.5;875.3;1.73654746943905
"NTGY.MC";23;22.94;0.261551874455095
"NVDA";114.39;108.1;5.81868640148012
"NVO";135.538;129.78;4.43673909693328
"NXS.DE";120.4;117.3;2.64279624893436
"NXS.SG";117.9;115;2.52173913043479
"OCI.AS";26.37;26.64;-1.01351351351351
"OKE";90.46;91.72;-1.37374618403838
"OR.PA";367.7;376.55;-2.35028548665516
"ORCL";157.31;155.89;0.9108987106293
"ORSTED.CO";429.7;407.2;5.52554027504912
"OTB.L";141.2;145.8;-3.15500685871058
"PANW";339.886;347.58;-2.21359111571436
"PBR-A";13.255;13.16;0.721884498480248
"PCE1.SG";3421;3463;-1.21282125324863
"PEP";175.08;177.81;-1.53534671840728
"PFE";29.525;29.74;-0.722932078009415
"PG";174.62;177.79;-1.78300241858372
"PLD";130.73;132.4;-1.26132930513596
"PODD";225.43;226.5;-0.47240618101545
"PQQ2.F";3.04;3.18;-4.40251572327044
"PRU.L";613.2;601.4;1.96208846025941
"PRY.MI";60.58;60.58;0
"PUK";16.415;16.08;2.08333333333334
"PWR";262.93;250.03;5.15938087429509
"PYPL";69.022;68.85;0.249818445896894
"QCI.F";146.44;146.98;-0.367396924751661
"QCI.HA";146.02;145.18;0.578592092574737
"QCOM";163.74;161.68;1.27412172191984
"QIA.DE";41.62;41.5;0.289156626506018
"RACE.MI";423.2;424.7;-0.353190487402873
"REN.AS";42.38;42.68;-0.702905342080593
"RENE.LS";2.45;2.44;0.40983606557378
"REP.MC";11.625;11.615;0.0860955660783451
"RIO.L";4630.5;4561;1.52378864284148
"RKT.L";4570;4519;1.12856826731578
"RMC.BE";63.85;65.3;-2.22052067381316
"RMS.PA";1904;1896;0.421940928270042
"RN4.F";2.42;2.43;-0.411522633744865
"ROG.SW";268.8;268.9;-0.0371885459278415
"ROR.L";323.2;322.6;0.185988840669549
"ROVI.MC";75.1;76.45;-1.76586003924135
"RWE.DE";32.84;33.11;-0.815463606161269
"RXL.PA";22.11;22.23;-0.53981106612686
"RYC.DU";110.14;109.58;0.511042160978283
"SAN.MC";4.246;4.2465;-0.0117744024490692
"SAN.PA";104.56;105.58;-0.966092062890695
"SAP.DE";194.42;192.54;0.976420484055259
"SBUX";96.665;93.34;3.56224555388901
"SCATC.OL";80.35;77.85;3.21130378933847
"SCHW";62.945;63.06;-0.18236600063432
"SCYR.MC";3.11;3.102;0.257898130238556
"SEDG";18.97;17.85;6.27450980392155
"SEH.F";35.63;35.7;-0.19607843137255
"SGMR.DU";25;25.8;-3.10077519379845
"SGO.PA";76.86;77.38;-0.672008270871021
"SGRO.L";884.6;890.6;-0.67370312149113
"SHELL.AS";29.99;30.075;-0.282626766417293
"SHL.SG";49.9;49.86;0.0802246289610894
"SIE.DE";162.14;162.36;-0.135501355013567
"SLR.MC";11.71;11.38;2.89982425307557
"SN.L";1202;1208.5;-0.537856847331402
"SNN";31.49;31.64;-0.474083438685215
"SOI.PA";103.7;105.3;-1.51946818613485
"SONVY";70.98;70.25;1.03914590747332
"SPGI";513.29;519.95;-1.28089239349939
"SPI";0.3769;0.2994;25.8851035404142
"SPIE.PA";36.12;36.06;0.166389351081517
"SREN.SW";114.6;115.35;-0.650195058517555
"SRT3.VI";252.1;253.2;-0.434439178515006
"SSE.L";1987.5;1980;0.378787878787879
"SSEZY";26.26;26.23;0.114372855508964
"STMN.SW";118.8;117.65;0.977475563110915
"SU.PA";220.05;219.9;0.0682128240109166
"SUI";140.53;141.4;-0.615275813295618
"SVT.L";2690;2694;-0.148478099480327
"SY1.BE";120.15;120.55;-0.331812525922847
"SYK";365.445;365.05;0.108204355567725
"SYY.BE";69.46;70.98;-2.14144829529446
"T";21.29;21.71;-1.93459235375404
"TATE.L";674.5;685;-1.53284671532847
"TEF.MC";4.211;4.178;0.789851603638113
"TEP.PA";97.14;96.86;0.28907701837704
"TGS.OL";103.7;101.9;1.76643768400392
"TLGO.MC";3.46;3.43;0.874635568513114
"TM5.MU";176.94;176.2;0.419977298524409
"TMO";613.71;624.21;-1.68212620752631
"TN8.F";556.6;560.3;-0.660360521149372
"TNXT.MI";11.78;11.79;-0.0848176420695487
"TRMB";54.4;55.22;-1.48496921405288
"TRN.MI";8.122;8.108;0.172668968919578
"TRUE-B.ST";36.9;37.04;-0.377969762419008
"TSLA";223.71;226.17;-1.08767741079718
"TSM";168.01;162.43;3.43532598657882
"TU9.SG";8.086;8.103;-0.20979883993582
"TUB.MC";2.72;2.705;0.554528650646955
"TXN";199.735;199.8;-0.0325325325325314
"U1B.F";11.4;11.4;0
"UBS";28.93;28.63;1.04785190359763
"UCB.BR";161.15;161;0.0931677018633576
"UCG.MI";36.155;36.075;0.221760221760217
"UNA.AS";58.74;59.2;-0.777027027027028
"UNC.MU";160.85;161.9;-0.648548486720205
"UNH";589.49;599.03;-1.59257466237083
"UNP";247.27;252.58;-2.10230422044501
"UNP.F";226.7;226.1;0.265369305616981
"UPM.HE";28.75;29.05;-1.03270223752152
"UPS";128.035;129.83;-1.38257721635987
"UTG.L";986;988.5;-0.252908447142135
"V";281.38;285.34;-1.38781804163453
"VID.MC";94.7;96.9;-2.27038183694531
"VIE.PA";29.47;29.51;-0.135547272111158
"VIS.MC";61.4;62.5;-1.76
"VK.PA";13.18;13.255;-0.565824217276507
"VNA.F";33.14;33.52;-1.13365155131266
"VOD.L";76.58;75.48;1.4573396926338
