Fecha;Fondo;Ticker;accion;porcentaje;Modif_porc;Peso_absoluto;Precio;banco;cnmv
2024-09-11 12:58:10.595170;BOLSAEUROPA;INGA.AS;ING GROEP NV EUR 1.141 0,81 -- --;1.1;0.004002501563477066;0.004402751719824773;16.054;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;BC.MI;BRUNELLO CUCINELLI EUR 1.024 0,98 -- --;1.08;0.0012070006035004048;0.0013035606517804372;82.95;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;MRK.F;MERCK KGAA EUR 909 0,87 1.085 1,15;1.08;-0.0032286469034340064;-0.003486938655708727;169.8;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ADYEN.AS;ADYEN NV EUR 3.046 1,85 3.048 1,91;1.07;0.0007705347511172754;0.0008244721836954847;1298.8;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;DRX.L;DRAX GROUP GBP 846 1,06 -- --;1.06;-0.003843197540353574;-0.004073789392774789;648.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;0QPY.IL;SONOVA HOLDING AG CHF 767 0,96 1.244 1,19;0.96;0.003866845998655125;0.00371217215870892;298.55;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;PUK;PRUDENTIAL GBP 929 0,89 789 0,84;0.92;0.020833333333333388;0.019166666666666717;16.415;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;BAYN.DE;BAYER EUR 673 0,84 1.013 0,97;0.84;-0.021908383125113052;-0.018403041825094963;27.01;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;DGE.L;DIAGEO GBP 4.539 2,49 2.268 1,62;0.78;0.00703351261894911;0.005486139842780307;2434.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SN.L;SMITH_NEPHEW GBP 621 0,78 -- --;0.78;-0.005378568473314025;-0.00419528340918494;1202.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;VOW.DE;VOLKSWAGEN AG EUR 615 0,59 -- --;0.7;0.008560727661851227;0.005992509363295859;94.25;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ITKA.MU;ANHEUSER-BUSCH EUR 526 0,66 -- --;0.66;0.008695652173913044;0.005739130434782609;58.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ABBN.SW;ABB CHF 900 0,86 -- --;0.65;-0.0015187676285528375;-0.0009871989585593444;46.02;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;DTE.DE;DEUTSCHE TELEKOM AG EUR 699 0,67 -- --;0.63;0.005744925315970974;0.003619302949061714;26.26;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;MBG.DE;MERCEDES-BENZ GROUP EUR 589 0,56 -- --;0.63;0.005054151624548757;0.003184115523465717;55.68;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SREN.SW;SWISS RE CHF 458 0,57 -- --;0.57;-0.006501950585175553;-0.003706111833550065;114.6;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;UCG.MI;UNICREDIT SPA EUR 664 0,70 -- --;0.49;0.00221760221760217;0.0010866250866250634;36.155;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;RMC.BE;REMY COINTREAU EUR 230 0,29 -- --;0.29;-0.022205206738131634;-0.006439509954058173;63.85;IBERCAJA;NOSE
