"fondo";"ticker";"porcentaje"
"BOLSAINTERNACIONAL";"CMCSA";0.77
"DIVIDENDO";"CME";2.12
"SECTORINMOBILIARIO";"CNA.L";0.66
"SANIDAD";"CNC";1.39
"MEGATRENDS";"CNC";2.43
"BOLSAESPANA";"COL.MC";1.23
"BOLSAUSA";"COLG.VI";0.41
"BOLSAUSA";"COP";0.52
"SMALLCAPS";"COP.DE";1.45
"SMALLCAPS";"COR.LS";1.5
"BOLSAUSA";"COST";0.99
"GLOBAL";"CRM";1.36
"BOLSAUSA";"CRM";1.58
"BOLSAINTERNACIONAL";"CRM";1.04
"TECNOLOGICO";"CRM";1.2
"TECNOLOGICO";"CRWD";2.33
"FINANCIERO";"CS.PA";3.27
"DIVIDENDO";"CS.PA";2.9
"BOLSAINTERNACIONAL";"CS.PA";2.27
"TECNOLOGICO";"CSCO";1.39
"BOLSAINTERNACIONAL";"CSCO";0.81
"DIVIDENDO";"CSCO";2.41
"BOLSAUSA";"CSCO";0.8
"SECTORINMOBILIARIO";"CSX";3.07
"SECTORINMOBILIARIO";"CTPNV.AS";0.81
"BOLSAUSA";"CVS";0.89
"SANIDAD";"CVS";1.01
"BOLSAINTERNACIONAL";"CVX";0.99
"BOLSAUSA";"CVX";1.12
"SMALLCAPS";"CWK.L";2.34
"FINANCIERO";"DB1.DE";1.9
"TECNOLOGICO";"DBX";1.31
"BOLSAUSA";"DE";0.45
"SECTORINMOBILIARIO";"DG.PA";2.21
"DIVIDENDO";"DG.PA";1.44
"BOLSAEUROPA";"DGE.L";0.78
"BOLSAUSA";"DHR";0.64
"SANIDAD";"DHR";1
"BOLSAUSA";"DIS";0.44
"BOLSAINTERNACIONAL";"DIS";1.19
"GLOBAL";"DIS";2.1
"TECNOLOGICO";"DIS";1.27
"SMALLCAPS";"DLN.L";0.89
"SECTORINMOBILIARIO";"DLR";2.21
"FINANCIERO";"DNB.OL";2.17
"BOLSAESPANA";"DOM.MC";1.58
"SMALLCAPS";"DOM.MC";1.11
"DIVIDENDO";"DRI";1.99
"BOLSAEUROPA";"DRX.L";1.06
"BOLSAINTERNACIONAL";"DTE.DE";1.74
"DIVIDENDO";"DTE.DE";2.12
"BOLSAEUROPA";"DTE.DE";0.63
"SMALLCAPS";"DUE.MU";0.99
"SMALLCAPS";"ECONB.BR";1.33
"NEWENERGY";"ED";3.76
"DIVIDENDO";"EDP.LS";2.03
"NEWENERGY";"EDP.LS";4.33
"BOLSAUSA";"EL";0.11
"GLOBAL";"EL";2.37
"BOLSAINTERNACIONAL";"EL";0.36
"SANIDAD";"EL.PA";1.53
"GLOBAL";"EL.PA";1.49
"BOLSAINTERNACIONAL";"EL.PA";0.66
"BOLSAEUROPA";"EL.PA";1.43
"BOLSAESPANA";"ELE.MC";2.38
"SMALLCAPS";"ELIS.PA";1.01
"SANIDAD";"ELV";2.46
"MEGATRENDS";"ELV";2.21
"BOLSAUSA";"EMR.F";0.18
"BESTIDEAS";"ENC.MC";1.230559482
"SECTORINMOBILIARIO";"ENEL.MI";1.93
